Date,CPI,Year,Month
2023-12-01,306.746,2023,12
2023-11-01,307.051,2023,11
2023-10-01,307.671,2023,10
2023-09-01,307.789,2023,9
2023-08-01,307.026,2023,8
2023-07-01,305.691,2023,7
2023-06-01,305.109,2023,6
2023-05-01,304.127,2023,5
2023-04-01,303.363,2023,4
2023-03-01,301.836,2023,3
2023-02-01,300.84,2023,2
2023-01-01,299.17,2023,1
2022-12-01,296.797,2022,12
2022-11-01,297.711,2022,11
2022-10-01,298.012,2022,10
2022-09-01,296.808,2022,9
2022-08-01,296.171,2022,8
2022-07-01,296.276,2022,7
2022-06-01,296.311,2022,6
2022-05-01,292.296,2022,5
2022-04-01,289.109,2022,4
2022-03-01,287.504,2022,3
2022-02-01,283.716,2022,2
2022-01-01,281.148,2022,1
2021-12-01,278.802,2021,12
2021-11-01,277.948,2021,11
2021-10-01,276.589,2021,10
2021-09-01,274.31,2021,9
2021-08-01,273.567,2021,8
2021-07-01,273.003,2021,7
2021-06-01,271.696,2021,6
2021-05-01,269.195,2021,5
2021-04-01,267.054,2021,4
2021-03-01,264.877,2021,3
2021-02-01,263.014,2021,2
2021-01-01,261.582,2021,1
2020-12-01,260.474,2020,12
2020-11-01,260.229,2020,11
2020-10-01,260.388,2020,10
2020-09-01,260.28,2020,9
2020-08-01,259.918,2020,8
2020-07-01,259.101,2020,7
2020-06-01,257.797,2020,6
2020-05-01,256.394,2020,5
2020-04-01,256.389,2020,4
2020-03-01,258.115,2020,3
2020-02-01,258.678,2020,2
2020-01-01,257.971,2020,1
2019-12-01,256.974,2019,12
2019-11-01,257.208,2019,11
2019-10-01,257.346,2019,10
2019-09-01,256.759,2019,9
2019-08-01,256.558,2019,8
2019-07-01,256.571,2019,7
2019-06-01,256.143,2019,6
2019-05-01,256.092,2019,5
2019-04-01,255.548,2019,4
2019-03-01,254.202,2019,3
2019-02-01,252.776,2019,2
2019-01-01,251.712,2019,1
2018-12-01,251.233,2018,12
2018-11-01,252.038,2018,11
2018-10-01,252.885,2018,10
2018-09-01,252.439,2018,9
2018-08-01,252.146,2018,8
2018-07-01,252.006,2018,7
2018-06-01,251.989,2018,6
2018-05-01,251.588,2018,5
2018-04-01,250.546,2018,4
2018-03-01,249.554,2018,3
2018-02-01,248.991,2018,2
2018-01-01,247.867,2018,1
2017-12-01,246.524,2017,12
2017-11-01,246.669,2017,11
2017-10-01,246.663,2017,10
2017-09-01,246.819,2017,9
2017-08-01,245.519,2017,8
2017-07-01,244.786,2017,7
2017-06-01,244.955,2017,6
2017-05-01,244.733,2017,5
2017-04-01,244.524,2017,4
2017-03-01,243.801,2017,3
2017-02-01,243.603,2017,2
2017-01-01,242.839,2017,1
2016-12-01,241.432,2016,12
2016-11-01,241.353,2016,11
2016-10-01,241.729,2016,10
2016-09-01,241.428,2016,9
2016-08-01,240.849,2016,8
2016-07-01,240.628,2016,7
2016-06-01,241.018,2016,6
2016-05-01,240.229,2016,5
2016-04-01,239.261,2016,4
2016-03-01,238.132,2016,3
2016-02-01,237.111,2016,2
2016-01-01,236.916,2016,1
2015-12-01,236.525,2015,12
2015-11-01,237.336,2015,11
2015-10-01,237.838,2015,10
2015-09-01,237.945,2015,9
2015-08-01,238.316,2015,8
2015-07-01,238.654,2015,7
2015-06-01,238.638,2015,6
2015-05-01,237.805,2015,5
2015-04-01,236.599,2015,4
2015-03-01,236.119,2015,3
2015-02-01,234.722,2015,2
2015-01-01,233.707,2015,1
2014-12-01,234.812,2014,12
2014-11-01,236.151,2014,11
2014-10-01,237.433,2014,10
2014-09-01,238.031,2014,9
2014-08-01,237.852,2014,8
2014-07-01,238.25,2014,7
2014-06-01,238.343,2014,6
2014-05-01,237.9,2014,5
2014-04-01,237.072,2014,4
2014-03-01,236.293,2014,3
2014-02-01,234.781,2014,2
2014-01-01,233.916,2014,1
2013-12-01,233.049,2013,12
2013-11-01,233.069,2013,11
2013-10-01,233.546,2013,10
2013-09-01,234.149,2013,9
2013-08-01,233.877,2013,8
2013-07-01,233.596,2013,7
2013-06-01,233.504,2013,6
2013-05-01,232.945,2013,5
2013-04-01,232.531,2013,4
2013-03-01,232.773,2013,3
2013-02-01,232.166,2013,2
2013-01-01,230.28,2013,1
2012-12-01,229.601,2012,12
2012-11-01,230.221,2012,11
2012-10-01,231.317,2012,10
2012-09-01,231.407,2012,9
2012-08-01,230.379,2012,8
2012-07-01,229.104,2012,7
2012-06-01,229.478,2012,6
2012-05-01,229.815,2012,5
2012-04-01,230.085,2012,4
2012-03-01,229.392,2012,3
2012-02-01,227.663,2012,2
2012-01-01,226.665,2012,1
2011-12-01,225.672,2011,12
2011-11-01,226.23,2011,11
2011-10-01,226.421,2011,10
2011-09-01,226.889,2011,9
2011-08-01,226.545,2011,8
2011-07-01,225.922,2011,7
2011-06-01,225.722,2011,6
2011-05-01,225.964,2011,5
2011-04-01,224.906,2011,4
2011-03-01,223.467,2011,3
2011-02-01,221.309,2011,2
2011-01-01,220.223,2011,1
2010-12-01,219.179,2010,12
2010-11-01,218.803,2010,11
2010-10-01,218.711,2010,10
2010-09-01,218.439,2010,9
2010-08-01,218.312,2010,8
2010-07-01,218.011,2010,7
2010-06-01,217.965,2010,6
2010-05-01,218.178,2010,5
2010-04-01,218.009,2010,4
2010-03-01,217.631,2010,3
2010-02-01,216.741,2010,2
2010-01-01,216.687,2010,1
2009-12-01,215.949,2009,12
2009-11-01,216.33,2009,11
2009-10-01,216.177,2009,10
2009-09-01,215.969,2009,9
2009-08-01,215.834,2009,8
2009-07-01,215.351,2009,7
2009-06-01,215.693,2009,6
2009-05-01,213.856,2009,5
2009-04-01,213.24,2009,4
2009-03-01,212.709,2009,3
2009-02-01,212.193,2009,2
